,0,1
829,νικοστράτου,234
830,παρθένος,233
831,Ἰάσων,233
832,χάλκεος,233
833,προθυμία,233
834,εὔβουλος,233
835,Ὀλυμπιεῖον,233
836,Ἄρης,232
837,νικόμαχος,232
838,οἰκουμένη,232
839,καθήκω,232
840,φιλόπατρις,232
841,μ,232
842,πάππος,231
843,ἀρταμιτίου,231
844,θεάομαι,230
845,Ἐρετριεύς,230
846,caesaris,230
847,καλλία,230
848,ἱστός,230
849,ὀρθός,229
850,δράκων,228
851,ἀντωνεῖνον,228
852,ἀποδόμενος,228
853,merito,228
854,Ἀχαιός,227
855,πύργος,226
856,γενεά,226
857,δίωνος,226
858,καλλικράτης,226
859,ἀζάμιος,226
860,Αἰακίδης,225
861,marci,225
862,ἀνυπόδικος,225
863,Διονυσιάς,224
864,νε,224
865,εἷς,224
866,λίτρα,224
867,δανείζω,223
868,ἀμφότεροι,223
869,θέα,223
870,ἀντιπάτρου,223
871,Πανδιονίς,222
872,δωρεά,222
873,ἀποδείκνυμι,222
874,Βάκχειος,222
875,φίλτατος,222
876,per,222
877,μόναρχος,222
878,θάνατος,221
879,νικόστρατος,221
880,δικαστήριον,221
881,τίτης,221
882,α,221
883,σκέλος,220
884,ἀρχιθεώρου,220
885,χειροτονέω,219
886,μετέχω,219
887,ποδιαῖος,219
888,ἐργολαβήσαντι,219
889,δαλίου,219
890,πολυκρατής,218
891,Ἀχιλλεύς,218
892,ὑπατικός,218
893,Ῥοῦφος,218
894,εὐμενής,218
895,ἐκεῖνος,218
896,κλάσμα,218
897,aurelio,218
898,ἀριστ,217
899,ἁδριανὸν,216
900,ἐργάζομαι,215
901,γέρας,215
902,πίναξ,215
903,φυλακή,215
904,πάτρωνος,215
905,θησαυρός,215
906,κατάκιτε,215
907,coniugi,215
908,βʹ,214
909,ἐργαστήριον,213
910,λαμπάς,213
911,τραϊανοῦ,213
912,ἐκτίνω,213
913,παραμόνου,213
914,ἀμφικτίονες,213
915,λι,212
916,ἀσκληπιῶι,212
917,nervae,212
918,γαῖα,212
919,καθαρός,212
920,δήμαρχος,211
921,φιλ,211
922,στρατεύω,210
923,τῖμος,210
924,πτολεμαῖον,210
925,traiani,210
926,ζωΐλου,210
927,οἰκογενής,210
928,πρυτανεῖον,209
929,τίκτω,209
930,ἅπτω,209
931,νεωκόρος,209
932,τ,208
933,καλλίστρατος,208
934,ἔννομος,208
935,στρατόω,208
936,ἁγνός,207
937,σεβαστῶι,207
938,ἀντίοχος,207
939,marco,207
940,δολιχός,206
941,Κέκροψ,206
942,δα,206
943,ἰσοτέλεια,206
944,vii,206
945,Ἀριστόδημος,205
946,ℎόρος,205
947,μυστήριον,205
948,ῥοῦφος,205
949,σορός,205
950,χριστός,205
951,μένος,204
952,πολέω,204
953,μυρσίνη,204
954,Πόλυβος,204
955,νόμισμα,204
956,δέρμα,204
957,ὄγδοος,204
958,στρατιωτικός,204
959,συνθήκη,204
960,ἰούλιον,204
961,Ὀλυμπιάς,204
962,consulibus,204
963,μένανδρος,203
964,Ἡράκλειτος,203
965,εἰρηναῖος,203
966,ἐπαρχεία,203
967,γεί,203
968,provinciae,203
969,εἴσπλοος,203
970,flavius,203
971,δραχμάν,203
972,ἑορτή,202
973,πολύκλειτος,202
974,τειμῆς,202
975,ἔκπλοος,202
976,ος,201
977,θάπτω,201
978,ἡλικία,201
979,ἀττάλου,201
980,ξενοφῶντος,201
981,ἄσημος,201
982,consul,201
983,felici,200
984,ἑός,199
985,ῥώννυμι,199
986,Ἰησοῦς,199
987,ἀρχαῖος,198
988,ἀποθνῄσκω,198
989,αἵρεσις,198
990,εὔπορος,197
991,σῴζω,197
992,ἀναπαύω,197
993,ἕβδομος,196
994,ἀναγορεύω,196
995,λίνεος,196
996,vi,196
997,Εὔτυχος,195
998,ἡδύς,195
999,Οὐαλέριος,195
1000,ἡρῷον,195
1001,invicto,195
1002,Σφήττιος,194
1003,ἑστία,194
1004,πυθμήν,194
1005,quae,194
1006,θέμις,193
1007,ἔδαφος,193
1008,γάμος,193
1009,ἀπόγονος,193
1010,παρεχόντω,193
1011,ἐπίσταμαι,192
1012,ἐπιτρέπω,192
1013,τολμάω,192
1014,φύσις,192
1015,κίων,192
1016,Παῦλος,192
1017,ἁδριανῷ,192
1018,cohortis,192
1019,σ,191
1020,πλέθρον,191
1021,παγκράτιον,191
1022,ἵππαρχος,191
1023,consuli,191
1024,παραμεινάτω,191
1025,Νυμφόδωρος,191
1026,ὕστερος,190
1027,ἐγγυάω,190
1028,Δημήτηρ,190
1029,ζώπυρος,190
1030,κατασκευή,190
1031,ὁμόνοια,190
1032,καθιερόω,190
1033,antonini,190
1034,φίλιος,189
1035,αἰλίου,189
1036,flavio,189
1037,ἀποφαίνω,188
1038,μέσος,188
1039,πύλη,188
1040,ℎο,188
1041,φιλοκράτης,188
1042,νικηφόρος,188
1043,Ἐπιδαύριος,188
1044,χῶρος,188
1045,ιι,187
1046,κόρη,187
1047,σώφρων,187
1048,πέτρα,187
1049,δικάζω,186
1050,κατατίθημι,186
1051,κεραμεύς,186
1052,τέχνη,186
1053,οἶος,186
1054,εὐτυχέω,186
1055,διοδότου,186
1056,βεβαιωτήρ,186
1057,ηδδ,186
1058,κλ,185
1059,γλαυκιάω,185
1060,Ἀντίπατρος,185
1061,κρατύς,184
1062,Ἀρχίδαμος,184
1063,Παλληνεύς,184
1064,νικάνδρου,184
1065,αἴλιον,184
1066,δίαυλος,184
1067,εὐκλείδα,184
1068,κακός,183
1069,Μεγαρεύς,183
1070,Σουνιεύς,183
1071,τοιοῦτος,183
1072,τίμημα,183
1073,eg,183
1074,Ἑλλάς,182
1075,λούω,182
1076,ἄμπελος,182
1077,publius,182
1078,μύστης,181
1079,μάντις,181
1080,ἐπαγγέλλω,181
1081,εὐπόλεμος,181
1082,Ἡρῴδης,181
1083,Ἀριστοκλῆς,181
1084,θήκη,181
1085,ἀσυλεὶ,181
1086,τει,180
1087,ῥαμνούσιος,180
1088,ἀντωνίνου,180
1089,Ἀχαία,180
1090,ἀττάλου,180
1091,ἑλομένωι,180
1092,πράκτιμοι,180
1093,Νίκανδρος,179
1094,κατέχω,179
1095,διοκλέους,179
1096,ἀποδέχομαι,179
1097,ἐπέρχομαι,179
1098,πυγμή,179
1099,μν,179
1100,Ἀθήναιον,178
1101,ἐπιτελέω,178
1102,τεκνόω,178
1103,καλανδῶν,178
1104,γιγνώσκω,177
1105,στρατηγέω,177
1106,Κνίδιος,176
1107,νικάρχου,176
1108,τειμαῖς,176
1109,pater,176
1110,λευκός,175
1111,γείτων,175
1112,ὀνήσιμος,175
1113,Λαρισαῖος,175
1114,κοινεῖ,175
1115,λειτουργία,175
1116,decurio,175
1117,σπονδή,174
1118,δέκα,174
1119,σωστράτου,174
1120,οἰκεῖος,174
1121,τιμοκράτης,174
1122,ἀγάθωνος,174
1123,Πυθικός,174
1124,Ἑκαταῖος,173
1125,χαρίζομαι,173
1126,ἴκατι,173
1127,καθάρασθαι,173
1128,ποιτροπίου,173
1129,πρεσβεία,172
1130,ἀπαγγέλλω,172
1131,Λεωνίδας,172
